step,orbit_index,timestamp_s,timestamp_utc,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35,value_36,value_37,value_38,value_39,value_40,value_41,value_42,value_43,value_44,value_45,value_46,value_47,value_48,value_49,value_50,value_51,value_52,value_53,value_54,value_55,value_56,value_57,value_58,value_59,value_60,value_61,value_62,value_63,value_64,value_65,value_66,value_67,value_68,value_69,value_70,value_71,value_72,value_73,value_74,value_75,value_76,value_77,value_78,value_79
1,2897,1.000000,2026-04-23T12:56:16.980002+00:00,nodes,10.000000,11.000000,12.000000,13.000000,14.000000,16.000000,17.000000,19.000000,20.000000,22.000000,24.000000,26.000000,29.000000,32.000000,35.000000,38.000000,41.000000,45.000000,49.000000,54.000000,59.000000,64.000000,70.000000,77.000000,84.000000,92.000000,100.000000,109.000000,119.000000,130.000000,143.000000,156.000000,170.000000,186.000000,203.000000,222.000000,242.000000,265.000000,289.000000,316.000000,346.000000,378.000000,412.000000,451.000000,492.000000,538.000000,588.000000,642.000000,702.000000,767.000000,838.000000,915.000000,1000.000000,1093.000000,1194.000000,1304.000000,1425.000000,1557.000000,1701.000000,1859.000000,2031.000000,2219.000000,2424.000000,2649.000000,2894.000000,3162.000000,3455.000000,3775.000000,4125.000000,4507.000000,4924.000000,5380.000000,5878.000000,6422.000000,7017.000000,7667.000000,8377.000000,9152.000000,10000.000000
1,2897,1.000000,2026-04-23T12:56:16.980002+00:00,driver-CR1-25p-dec_payld-base-tx_power_mw,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000
1,2897,1.000000,2026-04-23T12:56:16.980002+00:00,driver-CR1-25p-dec_payld-base-attenuation_linear,1.466218e-15,1.466271e-15,1.466263e-15,1.466262e-15,1.466212e-15,1.466245e-15,1.466233e-15,1.466214e-15,1.466189e-15,1.466205e-15,1.466207e-15,1.466208e-15,1.466205e-15,1.466209e-15,1.466221e-15,1.466234e-15,1.466232e-15,1.466225e-15,1.466230e-15,1.466230e-15,1.466233e-15,1.466239e-15,1.466239e-15,1.466227e-15,1.466224e-15,1.466228e-15,1.466218e-15,1.466218e-15,1.466228e-15,1.466222e-15,1.466212e-15,1.466221e-15,1.466230e-15,1.466233e-15,1.466233e-15,1.466235e-15,1.466227e-15,1.466228e-15,1.466225e-15,1.466230e-15,1.466227e-15,1.466230e-15,1.466229e-15,1.466230e-15,1.466230e-15,1.466233e-15,1.466230e-15,1.466231e-15,1.466231e-15,1.466234e-15,1.466231e-15,1.466233e-15,1.466234e-15,1.466231e-15,1.466231e-15,1.466234e-15,1.466233e-15,1.466232e-15,1.466231e-15,1.466231e-15,1.466230e-15,1.466230e-15,1.466231e-15,1.466229e-15,1.466228e-15,1.466226e-15,1.466227e-15,1.466226e-15,1.466225e-15,1.466227e-15,1.466226e-15,1.466227e-15,1.466227e-15,1.466227e-15,1.466227e-15,1.466228e-15,1.466228e-15,1.466227e-15,1.466227e-15
1,2897,1.000000,2026-04-23T12:56:16.980002+00:00,driver-CR1-25p-dec_payld-base-attenuation_db,148.338014,148.337857,148.337882,148.337884,148.338033,148.337934,148.337971,148.338027,148.338101,148.338052,148.338047,148.338044,148.338053,148.338042,148.338006,148.337968,148.337973,148.337993,148.337978,148.337978,148.337971,148.337953,148.337951,148.337987,148.337998,148.337985,148.338013,148.338014,148.337986,148.338002,148.338031,148.338005,148.337978,148.337969,148.337971,148.337963,148.337989,148.337984,148.337992,148.337979,148.337988,148.337980,148.337982,148.337979,148.337980,148.337970,148.337979,148.337975,148.337975,148.337967,148.337977,148.337970,148.337968,148.337976,148.337977,148.337967,148.337971,148.337973,148.337976,148.337976,148.337978,148.337978,148.337977,148.337983,148.337986,148.337990,148.337989,148.337992,148.337993,148.337987,148.337990,148.337988,148.337988,148.337988,148.337988,148.337986,148.337984,148.337988,148.337987
1,2897,1.000000,2026-04-23T12:56:16.980002+00:00,driver-CR1-25p-dec_payld-base-rx_power_mw,4.744590e-10,4.744761e-10,4.744733e-10,4.744731e-10,4.744568e-10,4.744676e-10,4.744636e-10,4.744575e-10,4.744494e-10,4.744548e-10,4.744553e-10,4.744556e-10,4.744547e-10,4.744559e-10,4.744597e-10,4.744640e-10,4.744634e-10,4.744612e-10,4.744628e-10,4.744629e-10,4.744637e-10,4.744655e-10,4.744658e-10,4.744619e-10,4.744606e-10,4.744621e-10,4.744590e-10,4.744589e-10,4.744620e-10,4.744602e-10,4.744571e-10,4.744599e-10,4.744628e-10,4.744638e-10,4.744636e-10,4.744645e-10,4.744616e-10,4.744622e-10,4.744613e-10,4.744627e-10,4.744617e-10,4.744626e-10,4.744624e-10,4.744627e-10,4.744626e-10,4.744637e-10,4.744627e-10,4.744631e-10,4.744631e-10,4.744641e-10,4.744629e-10,4.744637e-10,4.744639e-10,4.744630e-10,4.744629e-10,4.744641e-10,4.744636e-10,4.744633e-10,4.744631e-10,4.744631e-10,4.744628e-10,4.744628e-10,4.744629e-10,4.744623e-10,4.744620e-10,4.744615e-10,4.744616e-10,4.744613e-10,4.744612e-10,4.744618e-10,4.744615e-10,4.744617e-10,4.744617e-10,4.744617e-10,4.744617e-10,4.744619e-10,4.744621e-10,4.744617e-10,4.744619e-10
1,2897,1.000000,2026-04-23T12:56:16.980002+00:00,driver-CR1-25p-dec_payld-base-rx_power_dbm,-93.238014,-93.237857,-93.237882,-93.237884,-93.238033,-93.237934,-93.237971,-93.238027,-93.238101,-93.238052,-93.238047,-93.238044,-93.238053,-93.238042,-93.238006,-93.237968,-93.237973,-93.237993,-93.237978,-93.237978,-93.237971,-93.237953,-93.237951,-93.237987,-93.237998,-93.237985,-93.238013,-93.238014,-93.237986,-93.238002,-93.238031,-93.238005,-93.237978,-93.237969,-93.237971,-93.237963,-93.237989,-93.237984,-93.237992,-93.237979,-93.237988,-93.237980,-93.237982,-93.237979,-93.237980,-93.237970,-93.237979,-93.237975,-93.237975,-93.237967,-93.237977,-93.237970,-93.237968,-93.237976,-93.237977,-93.237967,-93.237971,-93.237973,-93.237976,-93.237976,-93.237978,-93.237978,-93.237977,-93.237983,-93.237986,-93.237990,-93.237989,-93.237992,-93.237993,-93.237987,-93.237990,-93.237988,-93.237988,-93.237988,-93.237988,-93.237986,-93.237984,-93.237988,-93.237987
1,2897,1.000000,2026-04-23T12:56:16.980002+00:00,driver-CR1-25p-dec_payld-base-noise_power_mw,9.642296e-12,9.641973e-12,9.642370e-12,9.642300e-12,9.642363e-12,9.642338e-12,9.642151e-12,9.642619e-12,9.642231e-12,9.642407e-12,9.642337e-12,9.642433e-12,9.642154e-12,9.642387e-12,9.642253e-12,9.642286e-12,9.642240e-12,9.641993e-12,9.642310e-12,9.642640e-12,9.642583e-12,9.642558e-12,9.642473e-12,9.642123e-12,9.642209e-12,9.642113e-12,9.642283e-12,9.642449e-12,9.642256e-12,9.642437e-12,9.642617e-12,9.642204e-12,9.642072e-12,9.642305e-12,9.642210e-12,9.642320e-12,9.642097e-12,9.642265e-12,9.642627e-12,9.642582e-12,9.642187e-12,9.642419e-12,9.642558e-12,9.642128e-12,9.642014e-12,9.642219e-12,9.642543e-12,9.642511e-12,9.642485e-12,9.642190e-12,9.642456e-12,9.642703e-12,9.642749e-12,9.642196e-12,9.642846e-12,9.642735e-12,9.642290e-12,9.642330e-12,9.642480e-12,9.642234e-12,9.642570e-12,9.642251e-12,9.642235e-12,9.642432e-12,9.642311e-12,9.642277e-12,9.642861e-12,9.642669e-12,9.642525e-12,9.642245e-12,9.642424e-12,9.642197e-12,9.643571e-12,9.643504e-12,9.642413e-12,9.642330e-12,9.641611e-12,9.642613e-12,9.642604e-12
1,2897,1.000000,2026-04-23T12:56:16.980002+00:00,driver-CR1-25p-dec_payld-base-total_power_mw,4.840640e-10,4.843276e-10,4.840805e-10,4.841111e-10,4.840412e-10,4.842003e-10,4.841863e-10,4.929587e-10,4.841723e-10,4.841043e-10,4.839790e-10,4.840321e-10,4.841065e-10,4.841411e-10,4.840836e-10,4.885824e-10,4.840597e-10,4.840550e-10,4.861696e-10,4.934480e-10,4.915912e-10,4.840461e-10,4.840366e-10,4.841066e-10,4.877205e-10,4.858866e-10,4.847774e-10,4.859640e-10,4.883907e-10,4.895696e-10,4.869360e-10,4.893153e-10,4.863057e-10,4.891897e-10,4.969410e-10,4.928459e-10,4.979876e-10,4.956296e-10,4.982564e-10,4.975913e-10,4.968353e-10,4.948471e-10,5.087941e-10,5.086110e-10,5.082970e-10,5.038467e-10,5.046650e-10,5.093000e-10,5.148948e-10,5.120519e-10,5.133007e-10,5.202057e-10,5.197883e-10,5.291990e-10,5.377384e-10,5.366833e-10,5.439529e-10,5.468370e-10,5.538664e-10,5.652193e-10,5.575667e-10,5.778641e-10,5.821780e-10,5.912934e-10,6.107327e-10,6.152828e-10,6.263590e-10,6.389016e-10,6.508399e-10,6.644888e-10,6.782935e-10,7.091043e-10,7.319023e-10,7.472305e-10,7.679796e-10,8.050888e-10,8.278858e-10,8.620038e-10,8.961071e-10
1,2897,1.000000,2026-04-23T12:56:16.980002+00:00,driver-CR1-25p-dec_payld-base-interference_mw,6.513737e-14,2.151264e-13,1.165896e-13,9.037586e-14,6.453773e-14,1.963716e-13,1.960634e-13,8.993944e-12,1.317578e-13,7.948627e-14,5.910500e-14,7.081166e-14,1.557011e-13,1.033202e-13,1.003915e-13,4.579962e-12,7.067989e-14,5.954445e-14,2.155680e-12,9.489683e-12,7.582318e-12,7.784334e-14,6.180661e-14,1.195211e-13,3.732473e-12,1.933635e-12,7.798831e-13,1.955332e-12,4.379882e-12,5.575322e-12,2.939623e-12,5.313355e-12,2.302153e-12,5.198324e-12,1.293322e-11,8.830063e-12,1.398456e-11,1.162983e-11,1.427015e-11,1.359914e-11,1.283265e-11,1.085240e-11,2.477560e-11,2.459714e-11,2.428331e-11,1.982222e-11,2.066663e-11,2.528319e-11,3.088044e-11,2.804499e-11,2.928351e-11,3.619401e-11,3.577514e-11,4.517130e-11,5.372022e-11,5.265352e-11,5.992564e-11,6.280449e-11,6.983327e-11,8.117949e-11,7.353096e-11,9.382285e-11,9.813528e-11,1.072486e-10,1.266838e-10,1.312338e-10,1.423045e-10,1.548444e-10,1.667796e-10,1.804256e-10,1.942301e-10,2.250330e-10,2.478301e-10,2.631535e-10,2.839003e-10,3.210060e-10,3.438026e-10,3.779157e-10,4.120176e-10
1,2897,1.000000,2026-04-23T12:56:16.980002+00:00,driver-CR1-25p-dec_payld-base-snr_db,16.920182,16.920484,16.920280,16.920309,16.920132,16.920242,16.920290,16.920023,16.920124,16.920094,16.920130,16.920090,16.920207,16.920113,16.920208,16.920232,16.920248,16.920339,16.920211,16.920063,16.920095,16.920124,16.920165,16.920286,16.920236,16.920293,16.920188,16.920112,16.920227,16.920130,16.920020,16.920231,16.920318,16.920222,16.920264,16.920222,16.920296,16.920226,16.920054,16.920087,16.920256,16.920160,16.920096,16.920292,16.920342,16.920260,16.920105,16.920123,16.920135,16.920277,16.920146,16.920042,16.920023,16.920264,16.919970,16.920031,16.920227,16.920207,16.920137,16.920247,16.920094,16.920237,16.920246,16.920151,16.920203,16.920214,16.919952,16.920035,16.920099,16.920231,16.920147,16.920252,16.919633,16.919663,16.920154,16.920194,16.920520,16.920064,16.920070
